current_path,current_label,current_short_label,current_room,current_nerd_group,unlock_week,unlock_phase,user_job,lifecycle_phase,frequency,urgency,current_surface_type,current_entry_points,current_back_return_behavior,current_discoverability,current_mobile_usability,current_scroll_burden,overlap_or_ambiguity,belongs_in_permanent_nav,recommended_parent_hub,recommended_canonical_path,recommended_surface_type,recommended_placement,route_compatibility,feature_loss_risk,required_acceptance_test
/handshakes,Handshakes,Promises,football_ops,team,always,,Track promises and commitments,all,weekly,high when due,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/commitments,hub tab or section,Team > Culture > Commitments,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Handshakes capability in no more than 3 intentional interactions (1 from an active related task); opening /handshakes resolves to the new surface with state, unlock rules, and back behavior intact."
/training-camp,Training Camp,Camp,football_ops,team,always,training_camp,Run camp decisions and evaluations,training camp,phase-dominant,critical,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/camp,contextual workflow,phase takeover + Team tab,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Training Camp capability in no more than 3 intentional interactions (1 from an active related task); opening /training-camp resolves to the new surface with state, unlock rules, and back behavior intact."
/mentors,Alumni Mentors,Mentors,football_ops,team,always,,Assign alumni mentors,all,occasional,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/development/mentors,hub tab or section,Team > Development > Mentors,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Alumni Mentors capability in no more than 3 intentional interactions (1 from an active related task); opening /mentors resolves to the new surface with state, unlock rules, and back behavior intact."
/player-development,Player Development,Develop,football_ops,team,always,,Plan and review development,all,weekly,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/development,phase-aware hub,Team > Development,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Player Development capability in no more than 3 intentional interactions (1 from an active related task); opening /player-development resolves to the new surface with state, unlock rules, and back behavior intact."
/compare,Player Compare,Compare,football_ops,team,always,,Compare selected players,all,contextual,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/compare,comparison workbench,contextual entity action,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Player Compare capability in no more than 3 intentional interactions (1 from an active related task); opening /compare resolves to the new surface with state, unlock rules, and back behavior intact."
/rivalries,Player Rivalries,Rivalries,football_ops,team,always,,Review player rivalries,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/culture/rivalries,hub tab or section,Team > Culture > Rivalries,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Player Rivalries capability in no more than 3 intentional interactions (1 from an active related task); opening /rivalries resolves to the new surface with state, unlock rules, and back behavior intact."
/contracts,Contracts,Cap,football_ops,money,4,,Manage contracts and financial commitments,all,frequent,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Related finance and front-office jobs are peer global destinations,no,Office,/office/finance/contracts,hub tab or section,Office > Finance > Contracts,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Contracts capability in no more than 3 intentional interactions (1 from an active related task); opening /contracts resolves to the new surface with state, unlock rules, and back behavior intact."
/cap-lab,Cap Lab,Cap Lab,football_ops,money,always,,Model cap scenarios,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Related finance and front-office jobs are peer global destinations,no,Office,/office/finance/cap-lab,comparison/transaction workbench,Office > Finance > Cap Lab,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Cap Lab capability in no more than 3 intentional interactions (1 from an active related task); opening /cap-lab resolves to the new surface with state, unlock rules, and back behavior intact."
/front-office,Front Office,Front Office,football_ops,money,always,,Review front-office strategy and operations,all,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Related finance and front-office jobs are peer global destinations,yes — Office,Office,/office/operations,phase-aware hub,Office > Operations,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Front Office capability in no more than 3 intentional interactions (1 from an active related task); opening /front-office resolves to the new surface with state, unlock rules, and back behavior intact."
/endorsements,Endorsements,Deals,football_ops,money,always,,Manage commercial opportunities,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Office,/office/operations/endorsements,hub tab or section,Office > Operations > Endorsements,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Endorsements capability in no more than 3 intentional interactions (1 from an active related task); opening /endorsements resolves to the new surface with state, unlock rules, and back behavior intact."
/trades,Trades,Trades,football_ops,acquire,4,,"Build, assess, and execute trades",regular season / offseason,periodic,high when active,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/trades,comparison/transaction workbench,Office > Personnel > Trades,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Trades capability in no more than 3 intentional interactions (1 from an active related task); opening /trades resolves to the new surface with state, unlock rules, and back behavior intact."
/trade-block,Trade Block,Block,football_ops,acquire,always,,Review market availability and offers,regular season,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/trade-market,hub tab or section,Office > Personnel > Market,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Trade Block capability in no more than 3 intentional interactions (1 from an active related task); opening /trade-block resolves to the new surface with state, unlock rules, and back behavior intact."
/trade-deadline,Trade Deadline,Deadline,football_ops,acquire,always,,Resolve trade-deadline decisions,trade deadline,phase-dominant,critical,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/deadline,contextual workflow,deadline phase takeover + Today task,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Trade Deadline capability in no more than 3 intentional interactions (1 from an active related task); opening /trade-deadline resolves to the new surface with state, unlock rules, and back behavior intact."
/team-needs,Team Needs,Needs,football_ops,acquire,always,,Identify roster needs,all,weekly,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/needs,hub tab or section,Office > Personnel > Needs,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Team Needs capability in no more than 3 intentional interactions (1 from an active related task); opening /team-needs resolves to the new surface with state, unlock rules, and back behavior intact."
/scouting,Scouting,Scout,football_ops,acquire,midseason,,Evaluate prospects and targets,midseason / offseason,frequent in phase,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/scouting,phase-aware hub,Office > Personnel > Scouting,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Scouting capability in no more than 3 intentional interactions (1 from an active related task); opening /scouting resolves to the new surface with state, unlock rules, and back behavior intact."
/draft,Draft,Draft,football_ops,acquire,always,draft,Run draft preparation and selections,draft,phase-dominant,critical,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/draft,decision workflow or wizard,draft phase takeover + Office tab,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Draft capability in no more than 3 intentional interactions (1 from an active related task); opening /draft resolves to the new surface with state, unlock rules, and back behavior intact."
/draft-recap,Draft Recap,Recap,football_ops,acquire,always,,Review draft outcomes,post-draft,once per season,medium,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/draft/recap,event-driven presentation,draft completion + archive,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Draft Recap capability in no more than 3 intentional interactions (1 from an active related task); opening /draft-recap resolves to the new surface with state, unlock rules, and back behavior intact."
/expansion-draft,Expansion Draft,Expansion,football_ops,acquire,always,,Run expansion-draft decisions,expansion event,rare,critical when active,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Office,/office/personnel/expansion-draft,decision workflow or wizard,event-driven Office workflow,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Expansion Draft capability in no more than 3 intentional interactions (1 from an active related task); opening /expansion-draft resolves to the new surface with state, unlock rules, and back behavior intact."
/free-agency,Free Agency,FA,football_ops,acquire,always,free_agency,Evaluate and sign free agents,free agency,phase-dominant,critical,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/free-agency,comparison/transaction workbench,free-agency takeover + Office tab,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Free Agency capability in no more than 3 intentional interactions (1 from an active related task); opening /free-agency resolves to the new surface with state, unlock rules, and back behavior intact."
/fa-targets,FA Targets,Targets,football_ops,acquire,always,,Manage the target board,free agency,frequent in phase,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/free-agency/targets,hub tab or section,Free Agency > Targets,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete FA Targets capability in no more than 3 intentional interactions (1 from an active related task); opening /fa-targets resolves to the new surface with state, unlock rules, and back behavior intact."
/waivers,Waiver Wire,Waivers,football_ops,acquire,always,,Review and claim waived players,regular season,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,The acquisition lifecycle is fragmented across many peer destinations,no,Office,/office/personnel/waivers,hub tab or section,Office > Personnel > Waivers,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Waiver Wire capability in no more than 3 intentional interactions (1 from an active related task); opening /waivers resolves to the new surface with state, unlock rules, and back behavior intact."
/practice-squad,Practice Squad,PS,football_ops,acquire,always,,Manage practice-squad players,regular season,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/roster/practice-squad,hub tab or section,Team > Roster > Practice Squad,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Practice Squad capability in no more than 3 intentional interactions (1 from an active related task); opening /practice-squad resolves to the new surface with state, unlock rules, and back behavior intact."
/owner,Owner Suite,Owner,football_ops,dynasty,always,,Review owner expectations and relationship,all,periodic,high when triggered,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Office,/office/ownership,hub tab or section,Office > Ownership,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Owner Suite capability in no more than 3 intentional interactions (1 from an active related task); opening /owner resolves to the new surface with state, unlock rules, and back behavior intact."
/relocate,Relocation,Relocate,football_ops,dynasty,always,,Evaluate or execute relocation,offseason / special event,rare,high when active,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Office,/office/ownership/relocation,decision workflow or wizard,Office > Ownership > Relocation,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Office, reach the complete Relocation capability in no more than 3 intentional interactions (1 from an active related task); opening /relocate resolves to the new surface with state, unlock rules, and back behavior intact."
/game-plan,Game Plan,Plan,game_week,gameday,always,,Prepare tactical choices for the next opponent,regular season / playoffs,weekly,critical,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",high,direct but dense,high measured,none uniquely identified,no,Game,/game/plan,hub tab or section,Game > Plan + Today task,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Game Plan capability in no more than 3 intentional interactions (1 from an active related task); opening /game-plan resolves to the new surface with state, unlock rules, and back behavior intact."
/game-day,Game Day,Game,game_week,gameday,always,,Enter the current game experience,game day,weekly,critical,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Several routes are views of the same game object and result loop,yes — Game,Game,/game/current,event-driven presentation,Game Center overview,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Game Day capability in no more than 3 intentional interactions (1 from an active related task); opening /game-day resolves to the new surface with state, unlock rules, and back behavior intact."
